"","final_home_rgcnum","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1",NA,"2017_2019","Transit",588322.698238454,57133.0327069323,0.0468775551581501,0.00450393241064915,4423,"2021","Transit",338092.101066287,47285.8948631642,0.0267255777765438,0.00371876631528636,324
"2","Bremerton","2017_2019","Transit",28.1514176674863,32.7452147946243,0.000542981619560764,0.000658383580913988,2,"2021","Transit",782.776719763631,916.897661863956,0.0822434092625736,0.092380331789795,2
"3","Everett","2017_2019","Transit",7425.70839532151,8021.93408408173,0.155160627613986,0.149639607787309,10,"2021","Transit",7925.56543955808,9218.50870713907,0.137167170185967,0.145062873781951,2
"4","SeaTac","2017_2019","Transit",1483.02922656391,1408.47233980762,0.0144279988135873,0.0139573600238513,3,"2021","Transit",2973.6586439718,1948.63864706838,0.236925215084642,0.137658476645917,8
"5","Seattle Downtown","2017_2019","Transit",26484.3803644923,3624.72875813221,0.209478898970335,0.0254455130823479,887,"2021","Transit",12563.7998581285,7092.6120185119,0.0756852644517325,0.0416215354490892,30
"6","Seattle First Hill/Capitol Hill","2017_2019","Transit",28590.5434620776,3609.38646770353,0.153459407045609,0.0180667476004316,1025,"2021","Transit",54880.1571328924,20234.9243037688,0.14911648662091,0.050690372316325,24
"7","Seattle Northgate","2017_2019","Transit",5094.43061580177,2288.06778666122,0.0775727870450598,0.0344543211999135,163,"2021","Transit",1124.991300256,1100.49124751131,0.084492259628177,0.0805137387188465,3
"8","Seattle South Lake Union","2017_2019","Transit",4519.73889512629,1029.14103588508,0.0875363167612339,0.0203649242249234,201,"2021","Transit",444.63192066527,731.419509494483,0.0108525812178347,0.0180808553578428,1
"9","Seattle University Community","2017_2019","Transit",16041.9762479568,2385.69001031851,0.189459939392909,0.0252709060387278,720,"2021","Transit",12333.219981803,4461.47864303784,0.121247017006227,0.0449044960336844,35
"10","Seattle Uptown","2017_2019","Transit",9779.75563737759,2676.42955971051,0.132184339702963,0.0362599688757153,217,"2021","Transit",13271.5937403904,11277.2811570205,0.218567609841065,0.161767430541356,6
"11","Tacoma Downtown","2017_2019","Transit",2390.76150989002,1338.46542370082,0.0168638398447286,0.00947402603437266,32,"2021","Transit",3917.81282911578,4600.64926245585,0.0342535307963441,0.0398327637524802,2
